蓝：陪安东尼度过漫长岁月VI（首发加赠当当限定赠品：PET菲林胶片x2张）陪安系列的15年暖心陪伴 百万畅销书陪安系列《红》《橙》《黄》《绿》《青》重磅力作！“我喜欢我是流动的”,¥45.60,¥48.00,安东尼,2023-04-01,湖南文艺出版社,★随书赠品：普鲁斯特问卷*1、不二兔折立卡*2、不二兔异形卡片*1、lomo拾光卡*2、PET菲林胶片*2（限首发！） ★百万畅销书 陪安 系列《红》《橙》《黄》《绿》《青》重磅力作！ ★陪安系列倒数第二本，15年暖心陪伴 即使它是蓝色的 也要清楚的记得每一页都有光 记住朋友的问候 真心的笑容 坚强面对困难的决心 对陌生人的关怀 带着这样的心情 可以拥抱每一个颜色 还有后一本 有点火车快要到站的感觉 我们终点的站台见 好好拥抱 道别 ★高清美图珍藏，打造优质精品图书 ★联手插画艺术家，打造丰富、独特赠品 ★封面240g进口超感纸、彩插100g 进口超感纸，精美装帧，至臻典藏 ★ 陪安 系列书《红》《橙》《黄》《绿》典藏版持续发力 我喜欢我是流动的 2020 2022 SOMETHING NEW 真实故事 | 生活记录 | 刻下记号的瞬间 | 漫长岁月的陪伴
元气少女缘结神：鞍马山夜话（甜蜜少女系漫画官方中文纪念版首次上市！） 日方正版授权全新内容收录，撩动万千观众的少女心！对我来说，只要能守护你，就已足矣。元气土地神奈奈生和傲娇狐狸巴卫君甜暖来袭！酷威文化。,¥27.90,¥32.80,（日）Haruka子安秀明，酷威文化 出品,2017-01-01,百花洲文艺出版社,★ 火爆中日，甜蜜少女系漫画《元气少女缘结神》，官方治愈小说中文经典纪念版首次上市！秒杀你无处安放的少女心！ ★全新内容收录其中，外加精美的插图，让你体会不一样的元气少女！ ★元气少女奈奈生遇上傲娇闷骚狐狸巴卫君，漂泊已久的少女心终于找到了灵魂的港湾。他用他的一生，陪伴了她整个岁月。 ★我爱她，这个世界*重要的，就算拿任何东西交换也好，也想共度此生。 ★我要保护她不受伤害，更不去伤害她。 重磅推荐： 《夏目友人帐》：高人气治愈系经典动漫初次小说化，中国官方正版授权。夏目、猫老师温暖归来。 《余生请多指教》：万千读者口碑相传的暖心之作。真实恋爱成长回忆录，让人不由自主就会幸福得笑出声来。 《醉流年》：云葭口碑仙侠力作，网络连载点击超百万！中国风仙侠音乐才女董贞，知名新武侠作家藤萍
陪安东尼度过漫长岁月,¥26.40起,-,,,,
他在云之南 印特签 景行高人气经典口碑力作 相遇十年典藏版 新增万字番外+作者前言,¥49.80,¥49.80,景行 著 欣梦享 出品,2025-06-01,江苏凤凰文艺出版社,◆景行高人气经典口碑力作，意难平天花板，催泪感人。 ◆ 相遇十年 典藏版。新增万字番外 作者前言，特别收录祖安的从前 沈寻的之后 程立的情书。 ◆番茄小说超740万人阅读，近10万读者盛赞，评分高达9.8分! ◆随书附赠：程立未寄出的手写情书 作者手写祝福卡 4张主角人设卡。 ◆8P典藏版彩插，还原名场景，【北京家中的露台拥抱】【瑞山陀塔看日出】。彩插最后一页，特别印制作者手写金句。 ◆程立，你要不要回来娶我，一个易拉罐拉环就可以求婚。 ◆在我一生中最黑暗的时光，有一个女人这样偏执地爱着我。 ◆内外双封，外封以机票为元素，程立从云南飞北京的回程票。内页采用 飞上云霄，隐入天际 动态页眉。细节满满，用纸精良，极具收藏价值。
青：陪安东尼度过漫长岁月5 治愈系作家安东尼“陪安”系列《红》《橙》《黄》《绿》后全新力作，它是我给你的一封情书，随着我的成熟，心上人正在越来越走近我 喜欢我，长久地和我在一起。,¥45.60,¥48.00,安东尼,2022-04-01,湖南文艺出版社,★ 畅销书 陪安 系列 《红》《橙》《黄》《绿》力作！★写给你的一封情书，高清美图珍藏，打造优质精品图书 ★作者 手写句子的 印签，暖心陪伴 ★联手插画艺术家，打造 丰富、独特赠品 ★ 精美装帧，至臻典藏 它是我给你的一封情书 随着我的成熟 心上人正在越来越走近我 喜欢我 长久地和我在一起
别踮脚我低头印签版 当当定制关于你的拍立得 纯爱言情作者君不弃校园甜宠悸动之作 网络原名她不乖要哄 是心跳不停，是爱意难熄，是她一踮脚，江丞就会低头的笃定。新增出版番外《三个心跳》《朝朝暮暮》。随书附赠：唯爱海报+夏时令贴纸+京大绯闻论坛卡+电子赠品――酷威文化,¥42.80,¥42.80,君不弃 著，酷威文化 出版,2025-10-01,百花文艺出版社,纯爱言情作者 君不弃 校园甜宠悸动之作，新增出版番外《三个心跳》《朝朝暮暮》。 校园青春 甜宠爱恋 欢喜冤家 豪门世家。是心跳不停，是爱意难熄，是她一踮脚，江丞就会低头的笃定。 季书怡是江丞克制的一生里无法控制的贪念。 随书附赠：唯爱海报 夏时令贴纸 京大绯闻论坛卡 电子赠品。
青：陪安东尼度过漫长岁月Ⅴ 全新典藏版,¥45.60,¥48.00,安东尼,2024-01-01,湖南文艺出版社,
退烧（全二册）舒虞浪漫新作 当当定制精美卡贴2张。新增出版番外《路无坷的告白信》、《那次分手》、《zui后悔的事》。从此以后路途再坎坷，我也只懂得朝你狂奔。随书附赠：拉力赛券+坷坷奶茶坊+小情书+“爱他”书签――酷威文化,¥69.80,¥69.80,舒虞 著，酷威文化 出品,2021-10-01,江苏凤凰文艺出版社,暖心人气作家舒虞浪漫飙爱之作，新增出版番外《路无坷的告白信》《那次分手》《zui后悔的事》。 狂放不羁 沈屹西vs 璀璨夺目 路无坷，浪漫的深情，是非你不可。 他们早在这俗世里有了纠葛，在后来漫长的岁月里终究还是狭路相逢。 从此以后路途再坎坷，我也只懂得朝你狂奔。 随书附赠：拉力赛券 坷坷奶茶坊 小情书 爱他 书签。
与岁长宁 上册 追光救赎 高口碑古言 嫁反派 娇娇贵女x乖张美强惨 反派 男主 她是他心尖上的善念 是刻在他伤痕上的名字 超人气追光救赎古言《嫁反派》。她是他心尖上的善念，是刻在他伤痕上的名字。玲珑剔透娇娇贵女×偏执乖张美强惨男主/梨花雪素美古雅双封，随书赠信物藏书票/事事皆如意，岁岁常安宁（风炫文化）,¥31.20,¥48.00,布丁琉璃，风炫文化 出品,2023-05-01,江苏凤凰文艺出版社,★ 指甲盖那么一点干净的良心，都捧给岁岁了。 病娇 款偏执情深男主角排行榜前五之作，晋江高人气作者布丁琉璃口碑出圈力作！ ★ 网络原名《嫁反派》， 狂揽网站30万 收藏，破37亿积分，2.4万人追读留评，2022晋江年度古言佳作，金榜TOP古言！晋江历年全站古言总榜收藏前25！ ★ 娇娇贵女 乖张美强惨 反派 男主，人设突出，极具魅力！甜虐交织的情节，文字极具画面感！ ★实体书全文精修增订！完结篇将收录一万三千字未曝光番外！ ★ 小狼会经历很多事，遇见许多善良之人。他会渐渐变得强大、聪慧、所向披靡。 这是她为小狼选的结局。 结发为夫妻，能与一人生同衾、死同穴，同心不离，乃世间至美之事。 他想让她开心。想用尽一切或卑劣或正常的手段，将自己永远地烙在虞灵犀的心上，让她每每想起今日都会心潮
渡夏天 “温柔”小仙女许微樱x“纯情”大帅哥段峋，暗恋成真的青春热恋――夏日定格，我们好久不见。,¥36.40,¥42.80,甜野豹，大鱼文化,2024-11-01,江苏凤凰文艺出版社,久别重逢/暗恋成真/直球互撩 热恋，不止夏天。 【温柔】小仙女 许微樱 【纯情】大帅哥 段峋 恋爱后，许微樱发现段峋给她的备注是 My Cookie Can ，我的饼干罐。 她对此百思不得其解。 直到发现 他的饼干罐只用来装重要的宝贝。 My Cookie Can意为我的宝贝。 你黑暗中喜欢我，才令我绽放花火。
蓝：陪安东尼度过漫长岁月VI 全新典藏版,¥45.60,¥48.00,安东尼,2024-01-01,湖南文艺出版社,
人鱼陷落：完结篇 畅销书作者麟潜口碑代表作！ 比起我曾经想要的，我更希望他一生热情不灭，悲悯不移。出版新增番外二则《意外任务》《如何正确辨认小兔球》， 附赠拍立得两张、“白蔼星”卡牌、“快乐小分队”书签、Q版异形小卡七张、九人大拉页和Q版贴纸。,¥52.80,¥52.80,麟潜 著，博集天卷 出品,2024-07-02,上海文化出版社,★原创人气文学，畅销书作者麟潜口碑代表作。比起我曾经想要的，我更希望他一生热情不灭，悲悯不移。 ★随书附赠多种赠品：拍立得两张、 白蔼星 卡牌、 快乐小分队 书签、Q版异形小卡七张、九人大拉页和Q版贴纸。 ★新增出版番外二则《意外任务》《如何正确辨认小兔球》。 ★内文选用73g米黄胶版纸，质感细腻。内含精美彩插。 ★比起我曾经想要的，我更希望他一生热情不灭，悲悯不移。 ★双封设计，书名烫金工艺，精致考究，具有收藏价值。
《你是长夜，也是灯火》典藏版 晋江现实向京圈文经典代表作《你是长夜，也是灯火》典藏版 一生平庸，一生迷恋杨谦南。,¥45.60,¥48.00,岁惟 著；力潮文创,2024-02-01,三秦出版社,她可以再等无数场雨，却再也不会在雨中遇到他。 看完后，我心久久不能平静，在放空时总会想到杨老板和凛凛的故事。全文若用一句话概括，我觉得开篇那句完美的概括了他们的相遇、相知、相伴 一场处心积虑的意外。 有人不喜这个故事可能是因为故事太真实、人物太现实。可我们的生活不就是这般吗？作者的文宇平淡且有力，温柔却又不失刚硬。她用细腻的文字为我们讲述了一个平凡却又不凡的故事。他们的目的都不纯粹，我却觉得刚刚好，若没有这目的性，那处心积虑何在？ 意外，我觉得是在杨谦南。像文中所说有些人命好到连爱都不需要，杨谦南便是如此，他看众生都漠然，爱，对他来说，算得了什么。可就是这样一个人，会为凛凛吃醋，会回头找她，会为她拦下一架 飞往曼哈顿的飞机，只为挽留她，那些时候，我觉得他是爱的，可他却能泰然自
人鱼陷落全五册（畅销书作者麟潜口碑代表作！）,¥264.00,¥264.00,麟潜 著，博集天卷 出品,2024-07-02,上海文化出版社,
橙：陪安东尼度过漫长岁月Ⅱ 全新典藏版,¥45.60,¥48.00,安东尼,2024-01-01,湖南文艺出版社,
与岁长宁.下册.完结篇（超人气追光救赎古言《嫁反派》。新增未公开番外13000字。你是我的夫君，不是怪物。你只是不能像爱 与岁长宁.完结篇（追光救赎/高口碑古言《嫁反派》。娇娇贵女×乖张美强惨“反派”男主。卫七是全心全意独属于“小姐”的少年）,¥31.20,¥48.00,布丁琉璃，风炫文化 出品,2023-05-01,江苏凤凰文艺出版社,★网络原名《嫁反派》，狂揽网站31万 收藏，破37亿积分，2.4万人追读留评，2022晋江年度古言佳作，金榜TOP古言！晋江历年全站古言总榜收藏前25！作品超话数超4300人！数据不断上涨中！ ★ 在这个世界里，他没有在将军府与虞灵犀朝夕相处，七夕夜没有与她在阁楼上放祈愿灯，没有人跨越坎坷荆棘而来，将他从地狱拉回人间 本王等了你八个月零九天。你食言了，灵犀。不过无碍，这次，本王去找你。 病娇 款偏执深情男主角类型文学口碑之作！虐心催泪的救赎剧情，碧落黄泉、生死不离的情感，极为动人。 ★ 主副CP人设形象鲜明，个性突出，圈粉无数。 主CP 温柔坚定聪慧岁岁vs乖张狠戾 反派 七殿下宁殷，岁岁年年，长宁相守。 副CP 活泼洒脱清平乡君唐不离VS内敛深沉冷面探花郎周蕴卿，前世无缘，今生再续。 ★ 实体书全文精修增订！完
深情眼（全2册） 原书名：我有多爱你，这个世界就有多爱你。晋江高人气作者耳东兔子继《我曾在时光里听过你》后，2020年全新力作，作品积分超40亿，收藏10万+。,¥56.80,¥59.80,耳东兔子 著， 悦读纪 出品,2020-11-01,青岛出版社,1.我有多爱你，这个世界就有多爱你。 2.她想捂住他的热血，扶正他的骨，做他的靠山，让他无拘无束、自由如风。她总觉得十年太长，能磨灭太多爱恨，后来才发现，原来这世上还有一个人，是她可以见一次就心动一次的。 3.那是一种连菩萨都无可奈何、明目张胆的偏爱。无论如何，你都是我人间流的存在。 4.晋江高人气作者耳东兔子继《三分野》《我曾在时光里听过你》后，2020年全新力作，作品积分超40亿，收藏10万 。
晋江人气作者木羽愿高口碑双向奔赴代表作《纵我情深》破镜重圆vs蓄谋已久，全文高甜！新增出版番外《婚后生活》，续写“傅姜夫,¥45.00,¥45.00,木羽愿，风炫文化 出品,2023-02-01,安徽文艺出版社,☆晋江人气作者木羽愿高口碑双向奔赴代表作，破镜重圆vs蓄谋已久，全文高甜！ ☆ 明艳动人小狐狸 姜知漓X 矜贵深情忠犬 傅北臣，在不为人知的地方 他们爱了对方一年又一年。 ☆八年分别，深情守候，你以为的不期而遇也许是某个人的蓄谋已久，时间不等人，等你的人，是我。 ☆新增出版番外《婚后生活》，续写 傅姜夫妇 的甜蜜生活。 ☆随书附赠：主角人设卡
人鱼陷落（高人气作者麟潜口碑代表作！） “如果人类让你疼痛，我只会让你更痛，所以，首先记住我。”新增番外多人视角《小白归队纪事》。随书附赠多种赠品：作者手写信、“白兰地”卡牌、ATWL考试入场券和Q版贴纸。,¥52.80,¥52.80,麟潜 著，博集天卷 出品,2022-07-01,湖南文艺出版社,★长佩原创人气文学，高人气作者麟潜口碑代表作。他住在洪都拉斯的海。 ★随书附赠多种赠品：作者手写信、 白兰地 卡牌、ATWL考试入场券和Q版贴纸。 ★出版图书新增番外多人视角《小白归队纪事》。 ★内文选用70g米黄胶版纸，质感细腻。内含精美彩插： 随便打打 和 双人行 。 ★ 如果人类让你疼痛，我只会让你更痛，所以，首先记住我。 ★双封设计，书名烫银工艺，精致考究，具有收藏价值。
打火机与公主裙(荒草园+长明灯)全2册 Twentine著 陈飞宇、张婧仪 主演影视剧“点燃我，温暖你”原著小说 荒草园深处，长明灯微亮。这是他战无不胜的荣光，是她奋不顾身的信仰，也是岁月静好，地阔天长。晋江年度口碑作者Twentine口碑力作，同名影视剧重磅打造中！圆满大结局、新增万字番外,¥55.50,¥74.00,Twentine 著， 悦读纪 出品,2017-08-01,青岛出版社,★Twentine，晋江新生代*口碑作者，被评为2015年度新锐作家，拥有超高人气，总积分累积41亿，读者心目中的业界良心，作品常被各大读书号五星推荐。 ★该作品长期稳居晋江各大榜单前十，收藏数34621，非V点击量2310556，积分高达859241472，一度引爆读者话题，新浪话题阅读量199.6万，讨论3.3万，对同名影视剧具有超高期待！ ★这里有一群人带你感受*真挚的爱情，*纯粹的青春，*残酷的人生，融爱情哲学和生活哲理于一体，值得深入阅读，细细品味！ ★她说： 不管感情怎么样，我始终相信你是个真正的天才，所以我才会来。 ★她对佛说： 我可能要干一件很不孝顺的事了。 佛安安静静看着她。 朱韵： 我不知道我做得是对是错，但我一定得做，我不能再言而无
《阿也（全二册）》刷边典藏版 我喜欢你的信息素 引路星 全新番外 《阿也（全二册）》刷边典藏版 我喜欢你的信息素 引路星 全新番外,¥75.60,¥79.60,引路星；力潮文创,2024-01-01,长江出版社,
纸飞机1+2,¥75.60,¥79.60,潭石,2021-10-19,广东旅游出版社,《少年绘》、长佩文学联合推荐
人鱼陷落3（长佩原创人气文学，高人气作者麟潜口碑代表作！） 长佩原创人气文学，畅销书作者麟潜口碑代表作。我不喜欢向误解者解释，海有潮汐，真相会随着落潮浮出水面，而我等得起。,¥52.80,¥52.80,麟潜 著，博集天卷 出品,2023-07-01,上海文化出版社,★长佩原创人气文学，畅销书作者麟潜口碑代表作。我不喜欢向误解者解释，海有潮汐，真相会随着落潮浮出水面，而我等得起。 ★随书附赠多种赠品：拍立得两张、 星球 卡牌两张、欢渔节门票、Q版方卡两张和Q版贴纸。 ★出版图书新增番外《劫机事件》。 ★内文选用73g米黄胶版纸，质感细腻。内含精美彩插。 ★我不喜欢向误解者解释，海有潮汐，真相会随着落潮浮出水面，而我等得起。 ★双封设计，书名烫金工艺，精致考究，具有收藏价值。
最好的我们：全三册（八月长安“振华中学”系列代表作，十周年典藏版。新增 10P后记《罗德赛塔西亚是一封情书》） 附赠：烫金邮票四张、人物关系图、学生证两张和“耿耿余淮”Q版贴纸。耿耿，我们做同桌吧。我们做同桌吧，我们一直做同桌吧。,¥128.00,¥128.00,八月长安 著，博集天卷 出品,2023-12-01,湖南文艺出版社,★八月长安 振华中学 系列代表作，十周年典藏版。 ★随书附赠多种赠品：烫金邮票四张、人物关系图、学生证两张和 耿耿余淮 Q版贴纸。 ★出版新增10P后记《罗德赛塔西亚是一封情书》。 ★内文选用73g米黄胶版纸，质感细腻。 ★十七岁，在大部分人看来都是一个充满希望的年纪。未来还没有到来，一切的灿烂期待好像都可以合理存在。 ★四封设计，书封烫镭射银工艺，精致考究，具有收藏价值。
骄阳似我下 完结篇 印签版 青春言情小说畅销书作家顾漫 宋威龙、赵今麦主演同名电视剧 出版《何以笙箫默》《微微一笑很倾城》《杉杉来吃》《你是我的荣耀》等多部人气畅销书的作家顾漫经典不可错过的爱情小说,¥19.80,¥36.00,顾漫 |华文天下出品,2024-02-02,九州出版社,.出版《何以笙箫默》《微微一笑很倾城》《杉杉来吃》《你是我的荣耀》等多部人气畅销书的作家顾漫经典不可错过的爱情小说！ 2.《骄阳似我》迎来大结局，甜蜜完结，不可错过！ 3.聂曦光 林屿森，携手共进，奔赴 为你而来 的双箭头爱情。 4.质感升级，选用新版内文纸，更护眼。烂漫的环衬纸，增加浪漫氛围。 5.随书附赠 骄阳似我海报*1、名场景明信片*2
我不喜欢这世界，我只喜欢你修订版 乔一 畅销百万册！由吴倩张雨剑主演的超甜电视剧我只喜欢你原著小说 畅销400万册！至臻纪念！愿你永怀善意，清澈明朗。,¥29.90,¥39.80,乔一 著，中南天使 出品,2019-05-14,湖南少年儿童出版社,畅销 400万册 至臻纪念 愿你永怀善意，清澈明朗。 改编剧《我只喜欢你》由吴倩 ?张雨剑 ?赵志伟 ??马栗 领衔主演 在这善变的人世间，想和你看一看永远。 一个女孩挫折不断的成长，和一个男孩的温柔守护。 一场懵懂恋爱，成为生命中的一束光，相互照亮彼此， 从校服到婚纱，爱让我们成为更好的人。
你失信了 BE美学爱好者绝对不能错过的宝藏小说―― 人气作者十清杳高口碑代表作《你失信了》，暗恋的戏要做全，所以我喜欢了他岁岁年年。,¥36.40,¥42.80,十清杳，大鱼文化,2022-12-01,四川文艺出版社,1.微博、小红书、抖音等平台众多读者自发推荐，BE美学爱好者不能错过的宝藏小说 人气作者十清杳高口碑代表作《你失信了》，暗恋的戏要做全，所以我喜欢了他岁岁年年。 2.实体书出版独家惊喜 作者十清杳精心续写，填补回忆中的那些未尽之意，全书新增四万字未公开内容！ 3.意难平 敏感少女向榆VS天之骄子宋怀时， 如果可以再回到十七岁，这次我们能牵手吗？ 开始是双向暗恋，双向奔赴。 向榆和宋怀时年少相遇，向榆小心翼翼地掩饰自己的心动，以为这是一场自己的单恋；但她不知道，其实宋怀时也在一步步走向她。两人在彼此赤诚、飞扬的青春里留下了美好的回忆。 后来是遗憾，是错过，是不再见。 但家庭的破碎、学业的负担，来自现实的种种压力让向榆退缩了，她是胆小鬼，喜欢了宋怀时岁岁年年，这回却没有勇敢地走向他一次。
